Time,Bid,Ask
2013.03.27 00:00:00.196,1.06491,1.06519
2013.03.27 00:00:01.195,1.06492,1.06518
2013.03.27 00:00:01.315,1.06492,1.06519
2013.03.27 00:00:01.675,1.06493,1.06518
2013.03.27 00:00:01.795,1.06491,1.06518
2013.03.27 00:00:01.855,1.06491,1.06518
2013.03.27 00:00:02.155,1.0649,1.06513
2013.03.27 00:00:02.287,1.06489,1.06513
2013.03.27 00:00:03.248,1.0649,1.06516
2013.03.27 00:00:03.506,1.0649,1.06516
2013.03.27 00:00:07.156,1.06489,1.06514
2013.03.27 00:00:07.761,1.06489,1.06513
2013.03.27 00:00:08.327,1.06486,1.06513
2013.03.27 00:00:12.785,1.06486,1.06513
2013.03.27 00:00:12.905,1.06482,1.06509
2013.03.27 00:00:13.546,1.06485,1.06511
2013.03.27 00:00:13.605,1.06485,1.06513
2013.03.27 00:00:15.455,1.06485,1.06511
2013.03.27 00:00:18.395,1.06485,1.06513
2013.03.27 00:00:19.805,1.06486,1.06513
2013.03.27 00:00:20.402,1.06486,1.06513
2013.03.27 00:00:22.536,1.06486,1.06513
2013.03.27 00:00:23.432,1.06486,1.06515
2013.03.27 00:00:24.726,1.06494,1.06519
2013.03.27 00:00:24.786,1.06494,1.0652
2013.03.27 00:00:24.965,1.06494,1.06519
2013.03.27 00:00:25.468,1.06494,1.06519
2013.03.27 00:00:26.065,1.06491,1.06519
2013.03.27 00:00:26.632,1.06494,1.06519
2013.03.27 00:00:26.935,1.06496,1.06523
2013.03.27 00:00:32.395,1.06497,1.06525
2013.03.27 00:00:32.455,1.06498,1.06525
2013.03.27 00:00:32.575,1.06498,1.06527
2013.03.27 00:00:32.636,1.06501,1.06527
2013.03.27 00:00:32.695,1.06503,1.06528
2013.03.27 00:00:33.036,1.06504,1.06529
2013.03.27 00:00:33.396,1.06508,1.06534
2013.03.27 00:00:33.456,1.06507,1.06534
2013.03.27 00:00:33.986,1.06508,1.06534
2013.03.27 00:00:44.431,1.06508,1.06534
2013.03.27 00:00:47.256,1.06508,1.06534
2013.03.27 00:00:49.906,1.06508,1.06534
2013.03.27 00:00:50.876,1.06506,1.06534
2013.03.27 00:00:51.208,1.06504,1.0653
2013.03.27 00:00:53.864,1.06503,1.0653
2013.03.27 00:00:54.246,1.06503,1.06528
2013.03.27 00:00:54.896,1.06501,1.06528
2013.03.27 00:00:55.077,1.06498,1.06526
2013.03.27 00:00:56.165,1.06498,1.06524
2013.03.27 00:01:00.752,1.06493,1.06519
2013.03.27 00:01:02.078,1.06492,1.06522
2013.03.27 00:01:08.168,1.06493,1.06519
2013.03.27 00:01:09.342,1.06491,1.06519
2013.03.27 00:01:18.651,1.06492,1.06519
2013.03.27 00:01:20.346,1.06494,1.0652
2013.03.27 00:01:23.886,1.06494,1.06521
2013.03.27 00:01:24.547,1.06496,1.06523
2013.03.27 00:01:24.666,1.065,1.06524
2013.03.27 00:01:25.366,1.065,1.06527
2013.03.27 00:01:25.666,1.06495,1.06522
2013.03.27 00:01:26.347,1.06495,1.06523
2013.03.27 00:01:27.895,1.06495,1.06522
2013.03.27 00:01:28.367,1.06495,1.06523
2013.03.27 00:01:29.062,1.06495,1.06522
2013.03.27 00:01:29.158,1.06495,1.06523
2013.03.27 00:01:29.216,1.06495,1.06523
2013.03.27 00:01:45.746,1.06499,1.06524
2013.03.27 00:01:48.547,1.06499,1.06524
2013.03.27 00:01:55.942,1.06494,1.0652
2013.03.27 00:01:56.502,1.06494,1.0652
2013.03.27 00:02:00.668,1.06494,1.0652
2013.03.27 00:02:01.798,1.06492,1.0652
2013.03.27 00:02:02.474,1.06494,1.0652
2013.03.27 00:02:05.127,1.06494,1.06522
2013.03.27 00:02:10.916,1.06495,1.06522
2013.03.27 00:02:11.038,1.06496,1.06522
2013.03.27 00:02:11.407,1.065,1.06525
2013.03.27 00:02:12.680,1.06501,1.06525
2013.03.27 00:02:22.117,1.06501,1.06524
2013.03.27 00:02:26.697,1.06496,1.06521
2013.03.27 00:02:27.496,1.06495,1.0652
2013.03.27 00:02:30.255,1.06495,1.06521
2013.03.27 00:02:30.811,1.06495,1.06521
2013.03.27 00:02:31.794,1.06495,1.06521
2013.03.27 00:02:36.636,1.06495,1.06521
2013.03.27 00:02:36.757,1.06495,1.06519
2013.03.27 00:02:37.110,1.06491,1.06515
2013.03.27 00:02:37.474,1.06491,1.06515
2013.03.27 00:03:00.245,1.06492,1.06517
2013.03.27 00:03:07.457,1.06491,1.06517
2013.03.27 00:03:15.376,1.06492,1.06517
2013.03.27 00:03:19.768,1.06491,1.06519
2013.03.27 00:03:20.537,1.06493,1.06519
2013.03.27 00:03:20.597,1.06496,1.06522
2013.03.27 00:03:40.658,1.06496,1.0652
2013.03.27 00:03:41.671,1.06494,1.06519
2013.03.27 00:03:41.737,1.06491,1.06516
2013.03.27 00:03:59.096,1.0649,1.06516
2013.03.27 00:04:01.786,1.06489,1.06513
2013.03.27 00:04:04.689,1.06489,1.06513
2013.03.27 00:04:05.282,1.06487,1.06513
2013.03.27 00:04:05.906,1.06487,1.06513
2013.03.27 00:04:12.579,1.06487,1.06513
2013.03.27 00:04:18.186,1.06487,1.06513
2013.03.27 00:04:21.897,1.06487,1.06515
2013.03.27 00:04:27.276,1.0649,1.06517
2013.03.27 00:04:35.177,1.06491,1.06517
2013.03.27 00:04:41.876,1.0649,1.06517
2013.03.27 00:04:45.906,1.06492,1.06517
2013.03.27 00:04:46.093,1.06492,1.06517
2013.03.27 00:04:46.636,1.06494,1.0652
2013.03.27 00:04:47.147,1.06495,1.06522
2013.03.27 00:04:47.747,1.06496,1.06522
2013.03.27 00:04:47.867,1.06498,1.06525
2013.03.27 00:04:50.636,1.06496,1.06522
2013.03.27 00:04:51.782,1.06497,1.06523
2013.03.27 00:04:52.548,1.065,1.06527
2013.03.27 00:04:57.917,1.065,1.06527
2013.03.27 00:05:00.289,1.06503,1.06527
2013.03.27 00:05:00.546,1.06503,1.06531
2013.03.27 00:05:00.787,1.06505,1.06531
2013.03.27 00:05:03.980,1.06505,1.06531
2013.03.27 00:05:09.276,1.06505,1.06531
2013.03.27 00:05:09.335,1.06508,1.06533
2013.03.27 00:05:26.786,1.06508,1.06532
2013.03.27 00:05:27.822,1.06507,1.06532
2013.03.27 00:05:28.356,1.0651,1.06534
2013.03.27 00:05:48.275,1.06509,1.06537
2013.03.27 00:05:53.746,1.06505,1.06531
2013.03.27 00:05:53.806,1.06505,1.06531
2013.03.27 00:05:54.276,1.06502,1.06527
2013.03.27 00:05:54.596,1.065,1.06527
2013.03.27 00:05:55.832,1.065,1.06527
2013.03.27 00:05:56.016,1.06502,1.06528
2013.03.27 00:05:57.372,1.06504,1.0653
2013.03.27 00:06:01.135,1.06504,1.0653
2013.03.27 00:06:02.322,1.06504,1.06529
2013.03.27 00:06:02.567,1.065,1.06527
2013.03.27 00:06:04.676,1.06501,1.06527
2013.03.27 00:06:05.495,1.06504,1.06529
2013.03.27 00:06:16.189,1.06506,1.06531
2013.03.27 00:06:16.617,1.06507,1.06531
2013.03.27 00:06:20.147,1.06506,1.06531
2013.03.27 00:06:20.565,1.06504,1.06531
2013.03.27 00:06:20.747,1.06506,1.06531
2013.03.27 00:06:21.186,1.0651,1.06535
2013.03.27 00:06:25.366,1.06511,1.06536
2013.03.27 00:06:25.546,1.06511,1.06536
2013.03.27 00:06:25.725,1.06511,1.06536
2013.03.27 00:06:29.557,1.06511,1.06536
2013.03.27 00:06:29.616,1.06511,1.06536
2013.03.27 00:06:29.856,1.06511,1.06536
2013.03.27 00:06:29.978,1.06504,1.06527
2013.03.27 00:06:30.278,1.06501,1.06524
2013.03.27 00:06:30.397,1.065,1.06524
2013.03.27 00:06:30.518,1.06499,1.06523
2013.03.27 00:06:30.876,1.06498,1.06522
2013.03.27 00:06:31.188,1.06496,1.06522
2013.03.27 00:06:32.566,1.06496,1.06522
2013.03.27 00:06:32.793,1.06497,1.06523
2013.03.27 00:06:33.336,1.06502,1.06527
2013.03.27 00:06:33.896,1.06502,1.06528
2013.03.27 00:06:34.076,1.06506,1.06532
2013.03.27 00:06:34.196,1.06509,1.06532
2013.03.27 00:06:34.737,1.06511,1.06537
2013.03.27 00:06:34.856,1.06512,1.06537
2013.03.27 00:06:35.398,1.06512,1.06537
2013.03.27 00:06:35.946,1.06516,1.06543
2013.03.27 00:06:37.476,1.06515,1.0654
2013.03.27 00:06:37.597,1.06511,1.06535
2013.03.27 00:06:38.167,1.06509,1.06535
2013.03.27 00:06:45.635,1.06511,1.06535
2013.03.27 00:06:51.916,1.06509,1.06535
2013.03.27 00:06:51.978,1.06506,1.0653
2013.03.27 00:06:52.036,1.06506,1.0653
2013.03.27 00:06:52.156,1.06506,1.06532
2013.03.27 00:06:52.347,1.06506,1.0653
2013.03.27 00:06:59.727,1.06504,1.06528
2013.03.27 00:06:59.846,1.06502,1.06525
2013.03.27 00:07:00.567,1.06501,1.06525
2013.03.27 00:07:01.801,1.06502,1.06528
2013.03.27 00:07:09.217,1.06506,1.06531
2013.03.27 00:07:13.597,1.06507,1.06533
2013.03.27 00:07:14.766,1.06512,1.06538
2013.03.27 00:07:15.075,1.06512,1.06539
2013.03.27 00:07:17.826,1.06509,1.06535
2013.03.27 00:07:17.887,1.06508,1.06535
2013.03.27 00:07:20.896,1.06509,1.06535
2013.03.27 00:07:23.160,1.06508,1.06535
2013.03.27 00:07:27.106,1.06508,1.06532
2013.03.27 00:07:27.287,1.06505,1.0653
2013.03.27 00:07:30.366,1.06505,1.0653
2013.03.27 00:07:30.786,1.06499,1.06526
2013.03.27 00:07:37.409,1.06499,1.06526
2013.03.27 00:07:37.587,1.06496,1.06521
2013.03.27 00:07:37.647,1.06501,1.06524
2013.03.27 00:07:37.846,1.06501,1.06523
2013.03.27 00:07:38.087,1.06501,1.06524
2013.03.27 00:07:38.326,1.06503,1.06527
2013.03.27 00:07:38.387,1.06503,1.06528
2013.03.27 00:07:39.087,1.06502,1.06527
2013.03.27 00:07:40.268,1.06502,1.06527
2013.03.27 00:07:40.660,1.06502,1.06523
2013.03.27 00:07:40.988,1.06496,1.0652
2013.03.27 00:07:41.588,1.06491,1.06518
2013.03.27 00:07:43.877,1.06494,1.06519
2013.03.27 00:07:43.936,1.06494,1.06521
2013.03.27 00:07:44.118,1.06497,1.0652
2013.03.27 00:07:44.357,1.06495,1.06521
2013.03.27 00:07:49.646,1.06496,1.06523
2013.03.27 00:07:49.826,1.06501,1.06526
2013.03.27 00:07:49.892,1.06501,1.06526
2013.03.27 00:07:50.077,1.06496,1.06521
2013.03.27 00:07:54.516,1.06497,1.06521
2013.03.27 00:07:54.785,1.06498,1.06523
2013.03.27 00:07:55.327,1.06501,1.06527
2013.03.27 00:07:55.886,1.06502,1.06527
2013.03.27 00:07:55.948,1.06505,1.06529
2013.03.27 00:07:56.008,1.06506,1.06531
2013.03.27 00:08:00.367,1.06506,1.06529
2013.03.27 00:08:00.430,1.06504,1.06528
2013.03.27 00:08:04.913,1.065,1.06525
2013.03.27 00:08:19.830,1.06501,1.06525
2013.03.27 00:08:22.086,1.06499,1.06526
2013.03.27 00:08:22.387,1.06501,1.06526
2013.03.27 00:08:22.447,1.06499,1.06523
2013.03.27 00:08:22.507,1.06501,1.06524
2013.03.27 00:08:22.806,1.065,1.06526
2013.03.27 00:08:23.406,1.06501,1.06526
2013.03.27 00:08:23.466,1.06501,1.06526
2013.03.27 00:08:23.826,1.06501,1.06526
2013.03.27 00:08:25.347,1.06495,1.06523
2013.03.27 00:08:25.908,1.06501,1.06525
2013.03.27 00:08:34.203,1.06499,1.06525
2013.03.27 00:08:44.998,1.06501,1.06525
2013.03.27 00:08:45.246,1.06501,1.06525
2013.03.27 00:08:45.349,1.06501,1.06526
2013.03.27 00:08:45.896,1.06505,1.06529
2013.03.27 00:08:46.076,1.06507,1.06529
2013.03.27 00:08:46.197,1.06507,1.06531
2013.03.27 00:08:46.497,1.06508,1.06533
2013.03.27 00:08:49.246,1.06507,1.06534
2013.03.27 00:08:49.786,1.06505,1.0653
2013.03.27 00:08:49.907,1.06505,1.06531
2013.03.27 00:08:54.156,1.06507,1.0653
2013.03.27 00:08:54.921,1.0651,1.06534
2013.03.27 00:08:54.994,1.0651,1.06531
2013.03.27 00:09:03.813,1.06506,1.06529
2013.03.27 00:09:07.550,1.06511,1.06534
2013.03.27 00:09:09.696,1.0651,1.06535
2013.03.27 00:09:12.829,1.06511,1.06533
2013.03.27 00:09:15.568,1.06507,1.06533
2013.03.27 00:09:16.588,1.06509,1.06534
2013.03.27 00:09:17.119,1.06507,1.06533
2013.03.27 00:09:19.186,1.06504,1.06528
2013.03.27 00:09:22.617,1.06504,1.0653
2013.03.27 00:09:30.688,1.06507,1.06531
2013.03.27 00:09:31.451,1.06507,1.06534
2013.03.27 00:09:32.909,1.06507,1.06534
2013.03.27 00:09:34.046,1.06511,1.06536
2013.03.27 00:09:34.286,1.06511,1.06534
2013.03.27 00:09:35.245,1.06504,1.06528
2013.03.27 00:09:35.320,1.06505,1.06532
2013.03.27 00:09:39.339,1.06506,1.06533
2013.03.27 00:09:46.086,1.06511,1.06534
2013.03.27 00:09:49.147,1.06512,1.06537
2013.03.27 00:09:49.266,1.06516,1.06539
2013.03.27 00:09:49.327,1.06516,1.0654
2013.03.27 00:09:50.896,1.06516,1.06544
2013.03.27 00:09:51.316,1.06521,1.06546
2013.03.27 00:09:51.376,1.06522,1.06548
2013.03.27 00:09:51.906,1.06521,1.06546
2013.03.27 00:09:52.607,1.06522,1.06546
2013.03.27 00:09:57.767,1.06524,1.0655
2013.03.27 00:09:58.318,1.06525,1.0655
2013.03.27 00:09:58.836,1.06526,1.0655
2013.03.27 00:10:00.199,1.06525,1.0655
2013.03.27 00:10:07.816,1.06523,1.0655
2013.03.27 00:10:08.176,1.0652,1.06546
2013.03.27 00:10:08.418,1.06518,1.0654
2013.03.27 00:10:10.757,1.06516,1.0654
2013.03.27 00:10:20.306,1.06515,1.0654
2013.03.27 00:10:20.546,1.0651,1.06536
2013.03.27 00:10:28.596,1.06509,1.06536
2013.03.27 00:10:29.318,1.06509,1.06536
2013.03.27 00:10:30.096,1.06508,1.06536
2013.03.27 00:10:30.697,1.06509,1.06536
2013.03.27 00:10:31.297,1.06511,1.06536
2013.03.27 00:10:31.667,1.06509,1.06536
2013.03.27 00:10:31.886,1.06509,1.06536
2013.03.27 00:10:32.508,1.06511,1.06536
2013.03.27 00:10:32.857,1.06511,1.06536
2013.03.27 00:10:33.216,1.06514,1.06541
2013.03.27 00:10:41.396,1.06513,1.06539
2013.03.27 00:10:44.106,1.06512,1.06536
2013.03.27 00:10:44.169,1.06509,1.06535
2013.03.27 00:10:44.286,1.06508,1.06535
2013.03.27 00:10:44.726,1.06506,1.06531
2013.03.27 00:10:53.807,1.06503,1.06527
2013.03.27 00:10:54.397,1.06503,1.06525
2013.03.27 00:10:59.920,1.06501,1.06525
2013.03.27 00:11:02.407,1.06499,1.06525
2013.03.27 00:11:03.418,1.06497,1.06521
2013.03.27 00:11:05.207,1.06499,1.06526
2013.03.27 00:11:13.592,1.06499,1.06526
2013.03.27 00:11:16.337,1.06499,1.06526
2013.03.27 00:11:16.636,1.06502,1.06526
2013.03.27 00:11:16.837,1.06499,1.06526
2013.03.27 00:11:18.509,1.06499,1.06527
2013.03.27 00:11:21.310,1.06499,1.06527
2013.03.27 00:11:33.245,1.06499,1.06527
2013.03.27 00:11:34.151,1.06497,1.06525
2013.03.27 00:11:36.847,1.06499,1.06525
2013.03.27 00:11:40.117,1.06498,1.06521
2013.03.27 00:11:40.296,1.06496,1.06521
2013.03.27 00:11:40.597,1.06499,1.06522
2013.03.27 00:11:41.088,1.065,1.06526
2013.03.27 00:11:41.566,1.06504,1.06529
2013.03.27 00:11:43.597,1.06506,1.06531
2013.03.27 00:11:44.017,1.06508,1.06531
2013.03.27 00:11:52.439,1.06512,1.06536
2013.03.27 00:11:52.510,1.06512,1.06536
2013.03.27 00:11:53.047,1.06515,1.06541
2013.03.27 00:12:12.313,1.06516,1.06541
2013.03.27 00:12:21.327,1.06513,1.06537
2013.03.27 00:12:21.566,1.06511,1.06533
2013.03.27 00:12:21.687,1.06508,1.06533
