Time,Bid,Ask
2013.03.12 00:00:00.761,0.8743,0.87444
2013.03.12 00:00:01.634,0.87431,0.87445
2013.03.12 00:00:02.029,0.87431,0.87448
2013.03.12 00:00:03.269,0.8743,0.87446
2013.03.12 00:00:04.709,0.8743,0.87446
2013.03.12 00:00:10.092,0.87429,0.87445
2013.03.12 00:00:10.401,0.87429,0.87442
2013.03.12 00:00:10.710,0.87425,0.87439
2013.03.12 00:00:14.270,0.87425,0.87439
2013.03.12 00:00:20.723,0.87424,0.87439
2013.03.12 00:00:22.509,0.87425,0.87438
2013.03.12 00:00:24.481,0.87424,0.8744
2013.03.12 00:00:25.280,0.8743,0.87443
2013.03.12 00:00:25.341,0.8743,0.87446
2013.03.12 00:00:27.850,0.87429,0.87446
2013.03.12 00:00:33.249,0.8743,0.87447
2013.03.12 00:00:34.872,0.87431,0.87447
2013.03.12 00:00:35.002,0.87431,0.87445
2013.03.12 00:00:35.070,0.87431,0.87447
2013.03.12 00:00:35.189,0.87427,0.87443
2013.03.12 00:00:35.671,0.87427,0.87443
2013.03.12 00:00:36.222,0.87425,0.87442
2013.03.12 00:00:40.164,0.87425,0.87441
2013.03.12 00:00:40.670,0.87425,0.87439
2013.03.12 00:00:41.261,0.87425,0.87439
2013.03.12 00:00:42.481,0.87425,0.87438
2013.03.12 00:00:44.650,0.87425,0.8744
2013.03.12 00:00:44.891,0.87425,0.87442
2013.03.12 00:00:45.685,0.87427,0.87443
2013.03.12 00:00:46.422,0.87428,0.87446
2013.03.12 00:00:49.811,0.87428,0.87446
2013.03.12 00:00:50.530,0.87428,0.87446
2013.03.12 00:00:51.015,0.87428,0.87446
2013.03.12 00:00:54.011,0.87427,0.87444
2013.03.12 00:00:54.491,0.87428,0.87444
2013.03.12 00:00:55.264,0.87428,0.87446
2013.03.12 00:00:56.257,0.87424,0.8744
2013.03.12 00:00:57.072,0.87425,0.8744
2013.03.12 00:00:57.584,0.87424,0.87437
2013.03.12 00:00:58.144,0.87425,0.87439
2013.03.12 00:00:58.651,0.87425,0.87439
2013.03.12 00:00:59.552,0.87424,0.87437
2013.03.12 00:01:00.100,0.87424,0.87437
2013.03.12 00:01:02.272,0.87425,0.87438
2013.03.12 00:01:04.212,0.87425,0.87438
2013.03.12 00:01:05.111,0.87425,0.87435
2013.03.12 00:01:05.243,0.87421,0.87435
2013.03.12 00:01:05.802,0.87422,0.87434
2013.03.12 00:01:06.483,0.87421,0.87434
2013.03.12 00:01:06.803,0.87421,0.87435
2013.03.12 00:01:07.233,0.87423,0.87439
2013.03.12 00:01:08.702,0.87421,0.87435
2013.03.12 00:01:08.774,0.87421,0.87433
2013.03.12 00:01:09.022,0.87418,0.87435
2013.03.12 00:01:09.163,0.87419,0.87437
2013.03.12 00:01:09.352,0.87419,0.87437
2013.03.12 00:01:09.872,0.87424,0.8744
2013.03.12 00:01:10.381,0.87425,0.8744
2013.03.12 00:01:10.825,0.87424,0.8744
2013.03.12 00:01:11.371,0.87423,0.87438
2013.03.12 00:01:12.124,0.87422,0.87438
2013.03.12 00:01:15.561,0.87422,0.87437
2013.03.12 00:01:22.562,0.87422,0.87436
2013.03.12 00:01:23.121,0.87422,0.87438
2013.03.12 00:01:24.911,0.87422,0.87436
2013.03.12 00:01:25.474,0.87421,0.87435
2013.03.12 00:01:25.542,0.87421,0.87436
2013.03.12 00:01:25.794,0.8742,0.87435
2013.03.12 00:01:26.101,0.87418,0.87433
2013.03.12 00:01:26.431,0.87416,0.87431
2013.03.12 00:01:26.740,0.87416,0.87431
2013.03.12 00:01:27.292,0.87416,0.87432
2013.03.12 00:01:28.322,0.87415,0.87429
2013.03.12 00:01:28.641,0.87415,0.87429
2013.03.12 00:01:28.712,0.87413,0.87428
2013.03.12 00:01:29.260,0.87413,0.87429
2013.03.12 00:01:33.621,0.87414,0.8743
2013.03.12 00:01:33.872,0.87418,0.87437
2013.03.12 00:01:34.004,0.87419,0.87437
2013.03.12 00:01:34.313,0.8742,0.87435
2013.03.12 00:01:34.381,0.87421,0.87436
2013.03.12 00:01:34.752,0.87422,0.87436
2013.03.12 00:01:35.623,0.87423,0.87439
2013.03.12 00:01:36.181,0.87424,0.87438
2013.03.12 00:01:37.053,0.87424,0.87438
2013.03.12 00:01:37.311,0.8743,0.87445
2013.03.12 00:01:37.684,0.87431,0.87449
2013.03.12 00:01:37.753,0.87433,0.8745
2013.03.12 00:01:37.943,0.87434,0.87449
2013.03.12 00:01:38.072,0.87434,0.8745
2013.03.12 00:01:38.200,0.87435,0.87451
2013.03.12 00:01:38.323,0.87437,0.87453
2013.03.12 00:01:38.630,0.87438,0.87453
2013.03.12 00:01:40.407,0.87438,0.87453
2013.03.12 00:01:40.911,0.87439,0.87453
2013.03.12 00:01:41.421,0.87441,0.87453
2013.03.12 00:01:41.911,0.87441,0.87453
2013.03.12 00:01:42.451,0.87441,0.87453
2013.03.12 00:01:44.648,0.87439,0.87453
2013.03.12 00:01:45.191,0.87438,0.87452
2013.03.12 00:01:47.053,0.87437,0.87451
2013.03.12 00:01:47.182,0.87437,0.87451
2013.03.12 00:01:47.431,0.87436,0.8745
2013.03.12 00:01:47.615,0.87434,0.87449
2013.03.12 00:01:47.741,0.87434,0.87449
2013.03.12 00:01:48.292,0.87434,0.87449
2013.03.12 00:01:49.031,0.87432,0.87448
2013.03.12 00:01:52.670,0.87433,0.87448
2013.03.12 00:01:54.422,0.87434,0.87448
2013.03.12 00:01:54.731,0.87431,0.87446
