Time,Bid,Ask
2013.03.19 00:00:02.796,1.29435,1.2944
2013.03.19 00:00:09.425,1.29435,1.29441
2013.03.19 00:00:09.975,1.29435,1.29441
2013.03.19 00:00:12.066,1.29433,1.29439
2013.03.19 00:00:12.135,1.29433,1.29439
2013.03.19 00:00:12.674,1.29431,1.29435
2013.03.19 00:00:12.974,1.29431,1.29435
2013.03.19 00:00:16.575,1.29431,1.29435
2013.03.19 00:00:18.664,1.29432,1.29437
2013.03.19 00:00:19.205,1.29431,1.29436
2013.03.19 00:00:19.386,1.29433,1.29439
2013.03.19 00:00:19.505,1.29434,1.29439
2013.03.19 00:00:20.571,1.29434,1.2944
2013.03.19 00:00:21.339,1.29434,1.2944
2013.03.19 00:00:23.575,1.29433,1.29438
2013.03.19 00:00:23.757,1.29431,1.29436
2013.03.19 00:00:23.876,1.2943,1.29436
2013.03.19 00:00:24.065,1.2943,1.29435
2013.03.19 00:00:26.565,1.2943,1.29434
2013.03.19 00:00:29.505,1.2943,1.29433
2013.03.19 00:00:30.226,1.29429,1.29433
2013.03.19 00:00:30.286,1.29429,1.29434
2013.03.19 00:00:30.525,1.29429,1.29434
2013.03.19 00:00:31.066,1.29429,1.29433
2013.03.19 00:00:31.546,1.29428,1.29432
2013.03.19 00:00:32.085,1.29429,1.29433
2013.03.19 00:00:33.828,1.29429,1.29432
2013.03.19 00:00:34.862,1.29428,1.29434
2013.03.19 00:00:35.176,1.29427,1.29432
2013.03.19 00:00:37.217,1.29427,1.29432
2013.03.19 00:00:39.387,1.29427,1.29432
2013.03.19 00:00:39.986,1.29424,1.29432
2013.03.19 00:00:41.526,1.29425,1.29432
2013.03.19 00:00:42.186,1.29424,1.29432
2013.03.19 00:00:42.736,1.29424,1.29432
2013.03.19 00:00:42.915,1.29424,1.2943
2013.03.19 00:00:45.760,1.29424,1.2943
2013.03.19 00:00:46.437,1.29427,1.29432
2013.03.19 00:00:46.556,1.29427,1.29435
2013.03.19 00:00:46.617,1.29427,1.29435
2013.03.19 00:00:48.345,1.29428,1.29434
2013.03.19 00:00:49.168,1.29428,1.29433
2013.03.19 00:00:50.106,1.29428,1.29432
2013.03.19 00:00:51.268,1.29429,1.29436
2013.03.19 00:00:51.388,1.2943,1.29437
2013.03.19 00:00:51.446,1.2943,1.29433
2013.03.19 00:00:51.748,1.29431,1.29439
2013.03.19 00:00:51.817,1.29434,1.29439
2013.03.19 00:00:51.936,1.29434,1.29439
2013.03.19 00:00:52.057,1.29434,1.29439
2013.03.19 00:00:52.116,1.29434,1.29439
2013.03.19 00:00:52.356,1.29434,1.29439
2013.03.19 00:00:52.537,1.29434,1.29438
2013.03.19 00:00:53.087,1.29431,1.29438
2013.03.19 00:00:53.205,1.29431,1.29438
2013.03.19 00:00:53.748,1.29431,1.29437
2013.03.19 00:00:53.927,1.29432,1.29438
2013.03.19 00:00:53.988,1.29432,1.29438
2013.03.19 00:00:54.227,1.29434,1.29441
2013.03.19 00:00:54.586,1.29435,1.29443
2013.03.19 00:00:55.008,1.29435,1.29439
2013.03.19 00:00:55.316,1.29431,1.29437
2013.03.19 00:00:55.856,1.29431,1.29436
2013.03.19 00:00:56.456,1.2943,1.29435
2013.03.19 00:00:56.996,1.2943,1.29434
2013.03.19 00:00:57.536,1.29429,1.29434
2013.03.19 00:01:01.847,1.2943,1.29433
2013.03.19 00:01:01.967,1.29431,1.29437
2013.03.19 00:01:02.087,1.29432,1.29438
2013.03.19 00:01:02.567,1.29431,1.29437
2013.03.19 00:01:03.108,1.29431,1.29437
2013.03.19 00:01:06.107,1.29432,1.29437
2013.03.19 00:01:06.167,1.29433,1.29437
2013.03.19 00:01:06.467,1.29434,1.29439
2013.03.19 00:01:06.767,1.29434,1.29439
2013.03.19 00:01:07.137,1.29436,1.29439
2013.03.19 00:01:07.257,1.29436,1.2944
2013.03.19 00:01:08.187,1.29437,1.29443
2013.03.19 00:01:08.446,1.29436,1.29441
2013.03.19 00:01:08.997,1.29436,1.29442
2013.03.19 00:01:09.892,1.29435,1.29442
2013.03.19 00:01:10.156,1.29435,1.29438
2013.03.19 00:01:10.337,1.2943,1.29437
2013.03.19 00:01:10.397,1.29431,1.29438
2013.03.19 00:01:10.756,1.2943,1.29437
2013.03.19 00:01:10.936,1.29431,1.29438
2013.03.19 00:01:11.518,1.29431,1.29437
2013.03.19 00:01:12.865,1.2943,1.29437
2013.03.19 00:01:15.836,1.2943,1.29437
2013.03.19 00:01:19.329,1.29429,1.29435
2013.03.19 00:01:19.637,1.29428,1.29434
2013.03.19 00:01:20.056,1.29427,1.29432
2013.03.19 00:01:20.537,1.29427,1.29432
2013.03.19 00:01:21.927,1.29427,1.29432
2013.03.19 00:01:23.026,1.29427,1.29432
2013.03.19 00:01:23.947,1.29427,1.2943
2013.03.19 00:01:25.357,1.29427,1.29431
2013.03.19 00:01:25.917,1.29427,1.29432
2013.03.19 00:01:26.436,1.29428,1.29432
2013.03.19 00:01:28.059,1.29427,1.29432
2013.03.19 00:01:28.810,1.29427,1.29432
2013.03.19 00:01:31.086,1.29427,1.29435
2013.03.19 00:01:31.749,1.29427,1.29431
2013.03.19 00:01:43.199,1.29428,1.29433
2013.03.19 00:01:44.037,1.29428,1.29433
2013.03.19 00:01:46.056,1.29429,1.29434
2013.03.19 00:01:48.151,1.29429,1.29434
2013.03.19 00:01:48.687,1.29429,1.29434
2013.03.19 00:01:50.257,1.29429,1.29434
2013.03.19 00:01:50.797,1.29429,1.29435
2013.03.19 00:01:51.306,1.29429,1.29434
2013.03.19 00:01:52.547,1.29429,1.29434
