Correlation table - 50 periods
ALX fradiani libs generated
Mon, 02 02 2010
pair1,pair2,15min,30min,Hourly
NZDJPY,AUDNZD,-0.02,-0.42,-0.28
NZDJPY,EURNZD,-0.99,-0.91,-0.85
NZDJPY,AUDUSD,0.94,0.95,0.47
NZDJPY,GBPUSD,0.79,0.27,-0.09
NZDJPY,NZDCAD,0.81,0.86,0.63
NZDJPY,NZDCHF,0.98,0.94,0.7
NZDJPY,AUDCAD,0.77,0.68,0.04
NZDJPY,EURJPY,0.98,0.94,0.92
NZDJPY,EURUSD,0.48,0.76,0.33
NZDJPY,CHFJPY,0.98,0.95,0.8
NZDJPY,CADJPY,0.99,0.99,0.97
NZDJPY,GBPCHF,0.73,-0.29,-0.39
NZDJPY,GBPCAD,-0.9,-0.87,-0.5
NZDJPY,GBPAUD,-0.94,-0.96,-0.85
NZDJPY,EURGBP,-0.85,0.27,0.31
NZDJPY,USDCHF,-0.5,-0.77,-0.21
NZDJPY,EURCAD,-0.96,-0.81,-0.63
NZDJPY,USDCAD,-0.92,-0.95,-0.89
NZDJPY,NZDUSD,0.97,0.98,0.89
NZDJPY,CADCHF,0.97,0.84,0.47
NZDJPY,GBPJPY,0.98,0.92,0.43
NZDJPY,EURCHF,-0.4,-0.06,0.02
NZDJPY,EURAUD,-0.97,-0.86,-0.54
NZDJPY,USDJPY,0.92,0.95,0.84
NZDJPY,GBPNZD,-0.97,-0.94,-0.66
NZDJPY,AUDJPY,0.99,0.99,0.88
NZDJPY,AUDCHF,0.97,0.87,0.67
AUDNZD,NZDJPY,0.01,-0.42,-0.27
AUDNZD,EURNZD,-0.04,0.31,0.4
AUDNZD,AUDUSD,0.27,-0.2,0.66
AUDNZD,GBPUSD,0.22,0.41,0.93
AUDNZD,NZDCAD,-0.08,-0.31,0.18
AUDNZD,NZDCHF,-0.03,-0.33,-0.7
AUDNZD,AUDCAD,0.36,0.23,0.91
AUDNZD,EURJPY,0.0,-0.46,-0.11
AUDNZD,EURUSD,0.41,-0.42,0.6
AUDNZD,CHFJPY,0.07,-0.45,0.22
AUDNZD,CADJPY,0.05,-0.41,-0.36
AUDNZD,GBPCHF,-0.18,0.55,0.77
AUDNZD,GBPCAD,-0.14,0.62,0.92
AUDNZD,GBPAUD,-0.26,0.43,0.59
AUDNZD,EURGBP,-0.06,-0.56,-0.88
AUDNZD,USDCHF,-0.51,0.37,-0.77
AUDNZD,EURCAD,-0.12,0.21,0.58
AUDNZD,USDCAD,-0.21,0.35,0.0
AUDNZD,NZDUSD,0.12,-0.37,0.08
AUDNZD,CADCHF,0.0,-0.27,-0.81
AUDNZD,GBPJPY,0.01,-0.15,0.7
AUDNZD,EURCHF,-0.49,-0.17,-0.79
AUDNZD,EURAUD,-0.22,0.06,-0.54
AUDNZD,USDJPY,-0.14,-0.45,-0.6
AUDNZD,GBPNZD,-0.05,0.58,0.86
AUDNZD,AUDJPY,0.13,-0.31,0.23
AUDNZD,AUDCHF,0.16,-0.08,0.15
EURNZD,NZDJPY,-0.98,-0.92,-0.86
EURNZD,AUDNZD,-0.04,0.31,0.4
EURNZD,AUDUSD,-0.96,-0.95,-0.34
EURNZD,GBPUSD,-0.81,-0.54,0.21
EURNZD,NZDCAD,-0.83,-0.84,-0.52
EURNZD,NZDCHF,-0.99,-0.99,-0.88
EURNZD,AUDCAD,-0.81,-0.7,0.12
EURNZD,EURJPY,-0.93,-0.75,-0.58
EURNZD,EURUSD,-0.52,-0.52,0.04
EURNZD,CHFJPY,-0.94,-0.77,-0.44
EURNZD,CADJPY,-0.96,-0.91,-0.84
EURNZD,GBPCHF,-0.73,-0.02,0.24
EURNZD,GBPCAD,0.88,0.72,0.56
EURNZD,GBPAUD,0.96,0.85,0.79
EURNZD,EURGBP,0.86,0.06,-0.24
EURNZD,USDCHF,0.55,0.57,-0.1
EURNZD,EURCAD,0.96,0.94,0.86
EURNZD,USDCAD,0.93,0.94,0.77
EURNZD,NZDUSD,-0.99,-0.96,-0.76
EURNZD,CADCHF,-0.95,-0.95,-0.7
EURNZD,GBPJPY,-0.96,-0.92,-0.23
EURNZD,EURCHF,0.45,0.24,-0.17
EURNZD,EURAUD,0.98,0.97,0.55
EURNZD,USDJPY,-0.86,-0.8,-0.73
EURNZD,GBPNZD,0.98,0.82,0.69
EURNZD,AUDJPY,-0.98,-0.93,-0.67
EURNZD,AUDCHF,-0.98,-0.96,-0.78
AUDUSD,NZDJPY,0.94,0.95,0.51
AUDUSD,AUDNZD,0.27,-0.2,0.66
AUDUSD,EURNZD,-0.96,-0.95,-0.34
AUDUSD,GBPUSD,0.89,0.51,0.78
AUDUSD,NZDCAD,0.76,0.86,0.7
AUDUSD,NZDCHF,0.93,0.95,-0.04
AUDUSD,AUDCAD,0.85,0.8,0.85
AUDUSD,EURJPY,0.88,0.84,0.55
AUDUSD,EURUSD,0.7,0.7,0.83
AUDUSD,CHFJPY,0.91,0.86,0.75
AUDUSD,CADJPY,0.93,0.95,0.39
AUDUSD,GBPCHF,0.67,-0.12,0.41
AUDUSD,GBPCAD,-0.86,-0.76,0.44
AUDUSD,GBPAUD,-0.96,-0.92,-0.13
AUDUSD,EURGBP,-0.86,0.08,-0.55
AUDUSD,USDCHF,-0.72,-0.74,-0.85
AUDUSD,EURCAD,-0.95,-0.86,0.04
AUDUSD,USDCAD,-0.97,-0.97,-0.71
AUDUSD,NZDUSD,0.99,0.98,0.8
AUDUSD,CADCHF,0.91,0.87,-0.35
AUDUSD,GBPJPY,0.92,0.93,0.92
AUDUSD,EURCHF,-0.55,-0.2,-0.64
AUDUSD,EURAUD,-0.99,-0.94,-0.9
AUDUSD,USDJPY,0.74,0.84,0.02
AUDUSD,GBPNZD,-0.93,-0.86,0.25
AUDUSD,AUDJPY,0.96,0.97,0.85
AUDUSD,AUDCHF,0.98,0.95,0.69
GBPUSD,NZDJPY,0.78,0.3,-0.09
GBPUSD,AUDNZD,0.22,0.41,0.93
GBPUSD,EURNZD,-0.81,-0.54,0.21
GBPUSD,AUDUSD,0.89,0.51,0.78
GBPUSD,NZDCAD,0.59,0.34,0.33
GBPUSD,NZDCHF,0.78,0.52,-0.56
GBPUSD,AUDCAD,0.68,0.59,0.93
GBPUSD,EURJPY,0.72,0.06,0.02
GBPUSD,EURUSD,0.84,-0.08,0.69
GBPUSD,CHFJPY,0.74,0.09,0.35
GBPUSD,CADJPY,0.78,0.3,-0.2
GBPUSD,GBPCHF,0.76,0.74,0.8
GBPUSD,GBPCAD,-0.63,0.12,0.89
GBPUSD,GBPAUD,-0.74,-0.12,0.52
GBPUSD,EURGBP,-0.93,-0.77,-0.92
GBPUSD,USDCHF,-0.8,0.0,-0.84
GBPUSD,EURCAD,-0.82,-0.62,0.45
GBPUSD,USDCAD,-0.9,-0.42,-0.2
GBPUSD,NZDUSD,0.88,0.4,0.29
GBPUSD,CADCHF,0.79,0.59,-0.74
GBPUSD,GBPJPY,0.81,0.61,0.83
GBPUSD,EURCHF,-0.48,-0.32,-0.82
GBPUSD,EURAUD,-0.83,-0.68,-0.67
GBPUSD,USDJPY,0.52,0.13,-0.51
GBPUSD,GBPNZD,-0.7,-0.02,0.79
GBPUSD,AUDJPY,0.8,0.37,0.38
GBPUSD,AUDCHF,0.82,0.67,0.28
NZDCAD,NZDJPY,0.8,0.87,0.63
NZDCAD,AUDNZD,-0.08,-0.31,0.18
NZDCAD,EURNZD,-0.83,-0.84,-0.52
NZDCAD,AUDUSD,0.76,0.86,0.7
NZDCAD,GBPUSD,0.59,0.34,0.33
NZDCAD,NZDCHF,0.86,0.86,0.32
NZDCAD,AUDCAD,0.89,0.83,0.56
NZDCAD,EURJPY,0.72,0.79,0.58
NZDCAD,EURUSD,0.31,0.64,0.59
NZDCAD,CHFJPY,0.71,0.79,0.59
NZDCAD,CADJPY,0.7,0.81,0.42
NZDCAD,GBPCHF,0.65,-0.16,0.04
NZDCAD,GBPCAD,-0.55,-0.64,0.07
NZDCAD,GBPAUD,-0.79,-0.83,-0.43
NZDCAD,EURGBP,-0.65,0.17,-0.1
NZDCAD,USDCHF,-0.29,-0.62,-0.49
NZDCAD,EURCAD,-0.65,-0.62,-0.01
NZDCAD,USDCAD,-0.62,-0.76,-0.55
NZDCAD,NZDUSD,0.81,0.88,0.8
NZDCAD,CADCHF,0.68,0.67,-0.09
NZDCAD,GBPJPY,0.73,0.81,0.53
NZDCAD,EURCHF,-0.21,0.04,-0.21
NZDCAD,EURAUD,-0.8,-0.79,-0.63
NZDCAD,USDJPY,0.68,0.8,0.23
NZDCAD,GBPNZD,-0.84,-0.81,-0.18
NZDCAD,AUDJPY,0.78,0.87,0.71
NZDCAD,AUDCHF,0.82,0.82,0.62
NZDCHF,NZDJPY,0.98,0.94,0.7
NZDCHF,AUDNZD,-0.03,-0.33,-0.7
NZDCHF,EURNZD,-0.99,-0.99,-0.88
NZDCHF,AUDUSD,0.93,0.94,-0.04
NZDCHF,GBPUSD,0.78,0.52,-0.56
NZDCHF,NZDCAD,0.86,0.86,0.32
NZDCHF,AUDCAD,0.8,0.72,-0.45
NZDCHF,EURJPY,0.94,0.77,0.43
NZDCHF,EURUSD,0.47,0.53,-0.3
NZDCHF,CHFJPY,0.93,0.79,0.13
NZDCHF,CADJPY,0.96,0.92,0.72
NZDCHF,GBPCHF,0.78,0.01,-0.44
NZDCHF,GBPCAD,-0.85,-0.72,-0.8
NZDCHF,GBPAUD,-0.93,-0.85,-0.84
NZDCHF,EURGBP,-0.86,-0.03,0.57
NZDCHF,USDCHF,-0.46,-0.56,0.48
NZDCHF,EURCAD,-0.93,-0.92,-0.84
NZDCHF,USDCAD,-0.9,-0.93,-0.52
NZDCHF,NZDUSD,0.97,0.96,0.5
NZDCHF,CADCHF,0.96,0.95,0.91
NZDCHF,GBPJPY,0.96,0.93,-0.18
NZDCHF,EURCHF,-0.33,-0.12,0.61
